Month_Ending,FY_Start_Date,FY_End_Date,PARTYEAR,Age_Band,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance
31MAR2021,01APR2020,31MAR2021,202013,01. 0 - 4,98357,23626,89957,8400,7065,91650,29260,319652,249587,23621,101759,147825
31MAR2021,01APR2020,31MAR2021,202013,02. 5 - 9,19970,11637,11734,8236,7427,19002,8678,260523,199106,21178,57594,141279
31MAR2021,01APR2020,31MAR2021,202013,03. 10 - 14,21633,11848,14166,7467,6764,20360,10672,263740,205597,18946,61113,144270
31MAR2021,01APR2020,31MAR2021,202013,04. 15,5812,2911,3996,1816,1646,5451,3040,65087,51141,4480,13707,37352
31MAR2021,01APR2020,31MAR2021,202013,05. 16,5733,2954,3898,1835,1699,5196,2669,63989,49720,4836,13254,36401
31MAR2021,01APR2020,31MAR2021,202013,06. 17,6139,3101,4287,1852,1706,5399,2751,59938,46406,4942,12905,33435
31MAR2021,01APR2020,31MAR2021,202013,07. 18,6616,3228,4942,1674,1545,5762,3004,53270,40856,4958,12663,28104
31MAR2021,01APR2020,31MAR2021,202013,08. 19,7784,3630,6039,1745,1615,6817,3452,54263,41893,5176,13658,28129
31MAR2021,01APR2020,31MAR2021,202013,09. 20 - 24,50657,25508,38965,11692,10886,45143,19031,358383,280449,31593,96456,183577
31MAR2021,01APR2020,31MAR2021,202013,10. 25 - 29,71953,38737,55964,15989,14777,64958,22314,549341,435684,41414,150171,285176
31MAR2021,01APR2020,31MAR2021,202013,11. 30 - 34,85634,49110,65631,20003,18630,77247,24545,687360,546218,47065,182548,363247
31MAR2021,01APR2020,31MAR2021,202013,12. 35 - 39,73268,43982,51386,21882,20481,64867,23193,601557,473232,42403,158392,314358
31MAR2021,01APR2020,31MAR2021,202013,13. 40 - 44,62413,39434,38016,24397,23006,53730,21837,494338,385501,35657,131637,253306
31MAR2021,01APR2020,31MAR2021,202013,14. 45 - 49,68884,44565,39705,29179,27440,57697,23791,521830,410499,34752,135922,273783
31MAR2021,01APR2020,31MAR2021,202013,15. 50 - 54,89718,59962,49453,40265,37929,74895,28475,654127,520407,39748,165309,354088
31MAR2021,01APR2020,31MAR2021,202013,16. 55 - 59,104594,71024,56995,47599,44821,86477,31268,734095,591858,38051,178851,412434
31MAR2021,01APR2020,31MAR2021,202013,17. 60 - 64,113879,78266,60949,52930,49960,92935,31469,730936,596910,32189,174347,421639
31MAR2021,01APR2020,31MAR2021,202013,18. 65 - 69,120291,82384,64992,55299,52370,96497,32027,722509,597065,26262,167107,428792
31MAR2021,01APR2020,31MAR2021,202013,19. 70 - 74,151045,100714,84391,66654,62953,118447,40993,844056,702665,26064,191957,509740
31MAR2021,01APR2020,31MAR2021,202013,20. 75 - 79,142528,89327,86891,55637,52467,106705,42089,729343,605727,22344,163415,441891
31MAR2021,01APR2020,31MAR2021,202013,21. 80 - 84,125593,69463,88353,37240,34932,87147,43552,564962,462333,19973,124301,337719
31MAR2021,01APR2020,31MAR2021,202013,22. 85 - 89,95612,45718,76680,18932,17646,60479,37626,351990,283393,14314,76064,207138
31MAR2021,01APR2020,31MAR2021,202013,23. 90+,63913,25305,57260,6653,6159,36888,28308,169536,133606,8238,35707,97846
31MAR2021,01APR2020,31MAR2021,202013,24. unknown,15928,10116,10787,5141,4746,12991,3247,201150,185010,11488,63523,119664
28FEB2021,01APR2020,31MAR2021,202013,01. 0 - 4,81554,19784,75229,6325,5362,75545,22160,272853,205993,20758,82759,123054
28FEB2021,01APR2020,31MAR2021,202013,02. 5 - 9,14301,8491,8261,6040,5419,13619,6115,218618,159550,19315,44367,114770
28FEB2021,01APR2020,31MAR2021,202013,03. 10 - 14,15521,8526,10097,5424,4911,14529,7503,213514,159786,16713,42953,116322
28FEB2021,01APR2020,31MAR2021,202013,04. 15,4347,2193,2992,1355,1252,4033,2233,53460,40408,3954,9938,30300
28FEB2021,01APR2020,31MAR2021,202013,05. 16,4399,2302,2989,1410,1300,3991,2088,53978,40809,4129,10351,30331
28FEB2021,01APR2020,31MAR2021,202013,06. 17,4656,2304,3327,1329,1228,4089,2144,49863,37724,4051,10373,27254
28FEB2021,01APR2020,31MAR2021,202013,07. 18,5144,2468,3881,1263,1162,4544,2411,44170,33269,3977,10196,22981
28FEB2021,01APR2020,31MAR2021,202013,08. 19,6059,2844,4719,1340,1253,5300,2635,45683,34520,4267,11405,23006
28FEB2021,01APR2020,31MAR2021,202013,09. 20 - 24,40947,20551,32037,8910,8272,36799,15296,303628,234877,26028,82549,151835
28FEB2021,01APR2020,31MAR2021,202013,10. 25 - 29,59244,31746,47058,12186,11344,53579,18115,466102,366199,34700,128678,237019
28FEB2021,01APR2020,31MAR2021,202013,11. 30 - 34,71065,40695,55609,15456,14469,64265,19953,580332,456890,39546,155407,300867
28FEB2021,01APR2020,31MAR2021,202013,12. 35 - 39,60088,35989,43295,16793,15826,52966,18876,503805,390223,35339,133378,256177
28FEB2021,01APR2020,31MAR2021,202013,13. 40 - 44,50304,31637,31397,18907,17889,42767,17895,409944,313493,29659,108678,204110
28FEB2021,01APR2020,31MAR2021,202013,14. 45 - 49,56526,35936,33841,22685,21504,46463,20335,435346,335186,28712,113203,220960
28FEB2021,01APR2020,31MAR2021,202013,15. 50 - 54,74069,49269,42121,31948,30253,60543,24116,547835,427375,32073,137633,288609
28FEB2021,01APR2020,31MAR2021,202013,16. 55 - 59,86287,58037,49060,37227,35278,69365,26558,613722,483396,31602,147874,334134
28FEB2021,01APR2020,31MAR2021,202013,17. 60 - 64,93904,63930,52699,41205,39132,74669,27217,611746,486847,26899,145042,340570
28FEB2021,01APR2020,31MAR2021,202013,18. 65 - 69,97346,66060,55222,42124,40095,75992,27198,602770,484598,21626,137600,346060
28FEB2021,01APR2020,31MAR2021,202013,19. 70 - 74,122797,80711,71633,51164,48622,93679,34693,694405,559901,21770,151482,407449
28FEB2021,01APR2020,31MAR2021,202013,20. 75 - 79,117567,72259,75373,42194,40136,85041,36258,600293,482332,19041,126399,355072
28FEB2021,01APR2020,31MAR2021,202013,21. 80 - 84,105185,57547,76349,28836,27316,70746,37071,466094,369740,16791,96948,272203
28FEB2021,01APR2020,31MAR2021,202013,22. 85 - 89,81984,38227,67957,14027,13218,49937,32903,290814,226726,11933,59626,166851
28FEB2021,01APR2020,31MAR2021,202013,23. 90+,57709,22479,52757,4952,4611,32394,25699,139675,106471,6903,28254,78133
28FEB2021,01APR2020,31MAR2021,202013,24. unknown,13241,8057,9422,3819,3528,10349,3037,170357,156111,8888,51404,103114
31JAN2021,01APR2020,31MAR2021,202013,01. 0 - 4,82592,19904,76566,6026,5105,76415,21918,285484,205973,24179,81280,124510
31JAN2021,01APR2020,31MAR2021,202013,02. 5 - 9,13541,7987,8051,5490,4946,12845,5893,229696,157928,22572,42511,114987
31JAN2021,01APR2020,31MAR2021,202013,03. 10 - 14,14650,8094,9595,5055,4580,13706,7152,226483,160171,19888,41602,118067
31JAN2021,01APR2020,31MAR2021,202013,04. 15,3929,1944,2752,1177,1077,3657,2056,56550,40673,4585,9819,30736
31JAN2021,01APR2020,31MAR2021,202013,05. 16,3985,2080,2695,1290,1171,3656,1914,56367,40493,4731,9840,30509
31JAN2021,01APR2020,31MAR2021,202013,06. 17,4355,2189,3076,1279,1171,3938,2030,52358,37741,4639,9977,27645
31JAN2021,01APR2020,31MAR2021,202013,07. 18,4893,2390,3719,1174,1091,4332,2235,46753,33242,4593,10212,22920
31JAN2021,01APR2020,31MAR2021,202013,08. 19,5746,2729,4518,1228,1138,5122,2475,47606,34561,4798,11375,23079
