PARTYEAR,Month_Ending,FY_Start_Date,FY_End_Date,TRETSPEF,TRETSPEF_DESCRIPTION,FCE,FCEs_With_Procedure,Ordinary_Admission_Episodes,FCE_DAY_CASES,FCE_DAY_WITH_PROCEDURE,FAE,EMERGENCY,Total_Appointments,Attended_Appointments,DNA_Appointments,First_Attendance,Follow_Up_Attendance,Latest_Month_Flag
202013,31MAR21,01APR20,31MAR21,&,Not Known,617,330,465,152,111,563,108,11437,9567,645,1754,7782,1
202013,31MAR21,01APR20,31MAR21,100,General Surgery,107160,71679,69514,37646,34983,95351,51040,242212,195416,13142,73955,121461,1
202013,31MAR21,01APR20,31MAR21,101,Urology,51870,41815,24122,27748,25188,47909,11217,326256,251991,17142,71874,180117,1
202013,31MAR21,01APR20,31MAR21,102,Transplantation Surgery,938,707,744,194,183,723,294,8249,6432,476,517,5915,1
202013,31MAR21,01APR20,31MAR21,103,Breast Surgery,5541,5314,1763,3778,3657,5480,98,161131,134478,6518,69251,65227,1
202013,31MAR21,01APR20,31MAR21,104,Colorectal Surgery,23848,19906,8091,15757,14834,21596,3478,105310,82972,5603,37624,45348,1
202013,31MAR21,01APR20,31MAR21,105,Hepatobiliary & Pancreatic Surgery,2571,1734,2246,325,297,1698,746,9445,7359,500,1836,5523,1
202013,31MAR21,01APR20,31MAR21,106,Upper Gastrointestinal Surgery,7719,6124,3616,4103,3913,6646,1756,21059,16527,1503,7212,9315,1
202013,31MAR21,01APR20,31MAR21,107,Vascular Surgery,7313,5571,5467,1846,1666,5841,2284,55702,41100,3610,17327,23773,1
202013,31MAR21,01APR20,31MAR21,108,Spinal Surgery Service,3549,2970,2000,1549,1484,3232,670,32254,25520,1621,8109,17411,1
202013,31MAR21,01APR20,31MAR21,109,Bariatric Surgery Service,,,,,,,,9,7,2,0,7,1
202013,31MAR21,01APR20,31MAR21,110,Trauma & Orthopaedics,62117,51909,40661,21456,20467,55721,20917,642503,518085,36545,175631,342448,1
202013,31MAR21,01APR20,31MAR21,111,,,,,,,,,1,1,0,0,1,1
202013,31MAR21,01APR20,31MAR21,120,"Ear, Nose & Throat (ENT)",15086,12043,8364,6722,6343,14373,4925,279289,210423,20334,85973,124450,1
202013,31MAR21,01APR20,31MAR21,130,Ophthalmology,56510,53561,2469,54041,51941,56312,905,808378,626211,54462,148050,476330,1
202013,31MAR21,01APR20,31MAR21,140,Oral Surgery,8399,7770,1233,7166,6786,8282,688,82664,63817,6347,27506,35592,1
202013,31MAR21,01APR20,31MAR21,141,Restorative Dentistry,416,405,7,409,399,415,1,32126,24648,1758,3534,19272,1
202013,31MAR21,01APR20,31MAR21,142,Paediatric Dentistry,1404,1265,39,1365,1227,1404,4,11637,8547,1149,2436,5941,1
202013,31MAR21,01APR20,31MAR21,143,Orthodontics,39,36,5,34,34,38,3,66534,50773,4220,3549,47053,1
202013,31MAR21,01APR20,31MAR21,144,Maxillo Facial Surgery,6691,5764,2179,4512,4192,6509,1354,58314,43521,4533,16371,27150,1
202013,31MAR21,01APR20,31MAR21,145,Oral and Maxillofacial Surgery,5,5,0,5,5,5,0,5,5,0,5,0,1
202013,31MAR21,01APR20,31MAR21,150,Neurosurgery,6300,5233,5371,929,855,4981,1868,42438,32195,2140,10427,21768,1
202013,31MAR21,01APR20,31MAR21,160,Plastic Surgery,17689,15633,4832,12857,11919,17372,3297,103410,79395,5803,23531,55478,1
202013,31MAR21,01APR20,31MAR21,161,Burns Care,447,276,410,37,35,405,317,6814,5688,350,1348,4340,1
202013,31MAR21,01APR20,31MAR21,170,Cardiothoracic Surgery,736,628,722,14,10,513,92,4520,3612,136,1223,2389,1
